Row Labels,Country name,Continent,PISA_math,PISA_reading,PISA_science,PISA_math_boy,PISA_math_girl,PISA_reading_boy,PISA_reading_girl,PISA_science_boy,PISA_science_girl,Enrolment in public schools (% students),Spending in early childhood (% of GDP),Spending from primary to post-secundary non-tertiary (% of GDP),Public spending from primary to post-secundary non-tertiary (% of GDP),Low achievers in all three domains (% of students),Percentage of disadvantaged students who are academically resilient (who scored in the top quarter of performance in reading amongst students in their own country),"Reading performance, in bottom quarter of ESCS","GDP per capita, PPP (current international $)",25-64 year-old population with tertiary education,Difference in reading performance between the 90th and the 10th percentiles (in score points),Difference in maths performance between the 90th and 10th percentiles (in score points),Difference in science performance between the 90th and the 10th percentiles (in score points),Students who skipped one or more days of school in the two weeks prior to the test (%),Overall number of students per teacher,Coverage of the national 15-year-old population in PISA,"Total population of 15-year-olds (2018, % of population)","Percentage of students in schools whose principal reported that the school's capacity to provide instruction is hindered at least to some extent by a lack of educational material
"
AUS,Australia,Oceania,491,503,503,494,488,487,519,504,502,57.6377953,0.5653616,4.022428,3.2969,11.21518,13.09308,460.3285,50252.84,45.727478,283.845,237.7674,261.9833,32.9918723930998,12.8082524437737,0.894459376463853,18.7840075495479,0.0984088669724027
AUT,Austria,Europe,499,484,490,505,492,471,499,491,489,87.5535594,0.686292,2.955923,2.826723,13.51205,9.961185,439.551,57050.35,32.711426,262.2021,244.021,252.3803,17.3301077171889,NA,0.888772152048584,14.4312206774902,0.294987678806519
BEL,Belgium,Europe,508,493,499,514,502,482,504,501,496,NA,NA,4.126719,3.972353,12.48884,9.007526,440.2164,52662.53,40.638546,271.1594,251.8296,261.0634,8.68697647055864,8.34074941240189,0.936474359482984,16.9279464456398,0.23806453275388
BRA,Brazil,South America,384,413,404,388,379,400,426,403,404,85.0273272,NA,NA,3.90078,43.20899,9.502604,372.9212,15020.44,18.429998,262.2661,224.1421,234.2152,50.3914215482464,21.8586673647816,0.650242524811945,21.3470017731849,0.308418176566582
CAN,Canada,North America,512,520,518,514,510,506,535,516,520,91.775977,NA,3.539194,3.223512,6.373436,13.93275,485.3464,50239.99,57.888363,258.7962,237.3567,246.9709,23.2128924132334,14.616874927662,0.863453561906725,16.0966797461488,0.105981601087925
CHE,Switzerland,Europe,515,484,495,519,512,469,500,495,495,95.4947599,0.3553638,NA,NA,10.68571,9.323201,435.234,71705.61,43.744415,270.4935,244.6711,254.7184,15.4247099098294,11.7533820443941,0.889483062414692,14.991202475545,0.165801124844348
CHL,Chile,South America,417,452,444,421,414,442,462,445,442,33.9883044,1.322575,4.19105,2.994505,23.46522,11.16452,414.8704,24740.5,NA,240.599,217.562,217.6228,10.4956912764856,18.859110031494,0.892857005661984,19.7112696355286,0.196806689525391
COL,Colombia,South America,391,412,413,401,381,407,417,420,407,81.3584811,0.4493422,3.986238,3.048998,39.92956,10.00301,373.3707,14865.89,23.391361,231.4899,208.7331,213.245,43.5941408413412,22.7443064949601,0.619072307410163,25.8709594046182,0.615813527867152
CRI,Costa Rica?,South America,402,426,416,411,394,419,434,420,411,86.2164942,NA,NA,3.888097,33.54622,10.00763,392.2773,20994.4,22.601564,211.0273,190.5573,188.1975,38.823618384015,13.6226853200524,0.62772155043896,22.218627273361,0.526668571689554
CZE,Czechia,Europe,499,490,497,501,498,474,507,496,498,93.6305388,0.5716407,2.905869,2.685061,10.5155,8.862173,438.7604,41134.09,24.262077,254.1155,241.4247,246.9493,10.4547753657914,12.3232282504057,0.954295262625933,15.8251454157229,0.307467728652708
DEU,Germany,Europe,500,498,503,503,496,486,512,502,504,96.0937698,0.970647,3.008381,2.636021,12.81518,10.36951,450.3966,54954.85,29.065134,278.308,247.8547,269.6671,13.2870159510373,13.8634638074272,0.99340798494712,13.5470493326714,0.398568361755736
DNK,Denmark,Europe,509,501,493,511,507,486,516,492,494,71.9504782,1.325321,3.433299,3.318589,8.142326,12.23138,462.0128,57462.78,39.44791,237.7767,212.6548,236.681,19.6655173035917,12.3777945862804,0.87782662158008,16.5715911188978,0.128927907687736
ESP,Spain,Europe,481,NA,483,485,478,NA,NA,484,482,67.6783372,0.7386139,3.02017,2.610502,NA,NA,NA,40720.19,37.252804,NA,228.5571,233.2075,29.630081543244,11.8571442495371,0.917508829331877,14.8578776255695,0.387325711945269
EST,Estonia,Europe,523,523,530,528,519,508,538,528,533,96.0618057,1.237866,3.102502,2.968454,4.217837,15.59622,497.4248,36326.8,41.130722,241.5024,208.6358,226.9256,17.4853874659149,11.6041460128623,0.931262951782655,16.363749142383,0.277437622949654
FIN,Finland,Europe,507,520,522,504,510,495,546,510,534,95.9370576,1.17251,3.608804,3.580011,7.014527,12.5731,482.9633,49755.14,45.188133,256.2835,212.8105,250.0318,13.2048236495188,10.6687349300213,0.963092841834548,16.0697485733452,0.275275667111276
FRA,France,Europe,495,493,493,499,492,480,505,493,493,80.0296161,0.7367728,3.709806,3.3663,12.5238,9.523932,443.2141,46569.02,36.897491,266.4848,241.0211,250.7185,16.1118928987031,10.5570892568064,0.913403783645417,18.1009317793295,0.150068990062899
GBR,United Kingdom,Europe,502,504,505,508,496,494,514,506,503,34.0136415,0.4153637,4.114337,3.420327,9.021561,13.99284,470.5488,47145.88,45.781677,260.4649,239.4143,257.8349,18.7569041405941,14.2131221437314,0.848362521679965,17.9293254891395,0.27269380090168
